"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка успешного входа в систему с валидными данными","715","Проверка успешного входа в систему с валидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","508","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","1608","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","1132","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1429","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1359","Проверка возвращения в корзину из оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkReturnShopCartByButtonCancel"
"","1042","Проверка негативных кейсов в оформлении заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkLoginWithNegativeTests"
"","1151","Проверка корректности товара в заказе перед завершением оформления","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkOverview"
"","857","Проверка добавления конкретного товара в корзину","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","1247","Проверка корректного завершения оформления заказа","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutOverviewTest","Firefox","tests.CheckoutOverviewTest","checkComplete"
"","935","Проверка перехода из корзины к оформлению заказа: шаг 1","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkSuccessfulSwitchToCheckout"
"","1640","Проверка успешного заполнения формы заказа и переход к шагу 2","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CheckoutInfoTest","Firefox","tests.CheckoutInfoTest","checkFormWithPositiveData"
"","508","Проверка входа в систему с невалидными данными","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeTests"
"","899","Проверка корректного удаление товара из корзины","SauceDemo crossBrowser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Chrome","tests.CartTest","checkRemoveItem"
